categoria,pergunta,intencao,status,motivo,resposta
agradecimento,vlw obg,(despedida),MISMATCH,"esperava agradecimento, classificou '(despedida)'","Até logo! Se precisar, é só voltar."
elogio,perfeito,(casual),MISMATCH,"esperava elogio, classificou '(casual)'","Beleza, pode continuar!"
personalizacao,etiqueta com minha marca,private_label,MISMATCH,"esperava personalizacao, classificou 'private_label'","Sim, fazemos private label (produzimos para outras marcas usarem etiqueta própria). Inclui: produção sem nossa etiqueta, etiqueta da sua marca, embalagem neutra ou com sua identidade. Mínimo de 100 peças por modelo. O setor de vendas explica as condições contratuais."
personalizacao,modelagem sob medida,producao_modelagem,MISMATCH,"esperava personalizacao, classificou 'producao_modelagem'","A modelagem é digital (CAD), o que permite ajustes precisos e encaixe otimizado de moldes. Para clientes com modelagem exclusiva, fazemos prova piloto e até 2 rodadas de ajustes antes da produção em lote."
tamanhos,roupa de crianca,cat_infantil,MISMATCH,"esperava tamanhos, classificou 'cat_infantil'","Linha infantil: camisetas, conjuntos, moletons, vestidinhos e bermudas. Grade de 2 a 14 anos com modelagem própria. Tecidos certificados OEKO-TEX (pele sensível, sem corantes agressivos)."
tamanhos,tamanho pra crianca,cat_infantil,MISMATCH,"esperava tamanhos, classificou 'cat_infantil'","Linha infantil: camisetas, conjuntos, moletons, vestidinhos e bermudas. Grade de 2 a 14 anos com modelagem própria. Tecidos certificados OEKO-TEX (pele sensível, sem corantes agressivos)."
quantidade_minima,da pra fazer so 5 pecas,viabilidade_producao,MISMATCH,"esperava quantidade_minima, classificou 'viabilidade_producao'","Sim, temos capacidade técnica para produzir 5 peças. O setor de costura tem 135 peças disponíveis hoje. Para confirmar, fale com vendas."
sustentabilidade,usam algodao organico,sustent_algodao_organico,MISMATCH,"esperava sustentabilidade, classificou 'sustent_algodao_organico'","Alguns lotes podem usar algodão certificado/sustentável sob demanda, mas a linha padrão não é toda orgânica. Quando o pedido exige certificação, confirmamos disponibilidade do tecido antes de fechar produção."
sustentabilidade,tem poliester reciclado,sustent_fibra_reciclada,MISMATCH,"esperava sustentabilidade, classificou 'sustent_fibra_reciclada'","Sim, trabalhamos com opções de poliéster reciclado (rPET) e reaproveitamento de sobras têxteis em linhas específicas. A disponibilidade depende do produto e da cor escolhida."
sustentabilidade,usam rpet,sustent_fibra_reciclada,MISMATCH,"esperava sustentabilidade, classificou 'sustent_fibra_reciclada'","Sim, trabalhamos com opções de poliéster reciclado (rPET) e reaproveitamento de sobras têxteis em linhas específicas. A disponibilidade depende do produto e da cor escolhida."
sustentabilidade,usam couro animal,tec_couro,MISMATCH,"esperava sustentabilidade, classificou 'tec_couro'","Não trabalhamos com couro animal por questão de sustentabilidade e bem-estar animal. Também não usamos couro sintético em larga escala (PVC tem alto impacto ambiental). Para peças com aparência de couro, usamos tecidos com revestimento."
producao,como voces produzem,catalogo,MISMATCH,"esperava producao, classificou 'catalogo'","Produzimos camisetas, polos, moletons, jaquetas, calças, vestidos, uniformes e linha infantil. Se você disser a categoria, eu detalho os modelos. Se quiser, posso listar as opções."
catalogo,produzem uniforme corporativo,sug_trabalho,MISMATCH,"esperava catalogo, classificou 'sug_trabalho'","Para empresa, eu indicaria polo corporativa quando precisa de imagem profissional e custo controlado; camiseta premium para evento mais informal; e dry fit se o local for quente ou a equipe ficar em movimento. Se tiver logo, bordado passa mais confiança; silk/DTF costuma sair melhor em volume ou arte colorida."
catalogo,fazem roupa infantil,tamanhos_infantil,MISMATCH,"esperava catalogo, classificou 'tamanhos_infantil'","Grade infantil Fashion Flow: 2, 4, 6, 8, 10, 12 e 14 anos. Modelagem específica para criança (não é redução da grade adulta). Tecidos selecionados para pele sensível."
sugestao_produto,roupa pra calor,sug_tec_quente,MISMATCH,"esperava sugestao_produto, classificou 'sug_tec_quente'","Para local quente, priorize tecido leve e respirável: algodão leve, viscose, linho ou dry fit. Para uniforme de empresa com logo, eu compararia polo dry fit com bordado pequeno ou camiseta premium clara com silk/DTF."
tecidos,tem couro vegano,sustent_vegano,MISMATCH,"esperava tecidos, classificou 'sustent_vegano'","A Fashion Flow não trabalha com couro animal, lã produzida com maus-tratos, seda convencional (que sacrifica bichos-da-seda) ou peles. A maioria do nosso catálogo é vegana. Para peças com lã, usamos apenas fornecedores com certificação de bem-estar animal."
tecidos,tecido fresco pra verao,sug_verao,MISMATCH,"esperava tecidos, classificou 'sug_verao'","Para verão indico: linho, viscose, algodão leve (140g), camiseta regata, vestido midi de malha, bermuda. Cores claras esquentam menos."
tecidos,tecido quente pra inverno,sug_inverno,MISMATCH,"esperava tecidos, classificou 'sug_inverno'","Para inverno indico: moletom flanelado (380g), jaqueta puffer, calça jeans pesada, peças de lã (sob demanda). Sobreposições funcionam melhor que uma peça muito grossa só."
tecidos,qual tecido resistente,qualidade_durabilidade,MISMATCH,"esperava tecidos, classificou 'qualidade_durabilidade'","Nossas peças são desenvolvidas para resistir entre 50 e 80 lavagens mantendo cor, forma e textura, desde que respeitados os cuidados da etiqueta. Tecidos premium (alfaiataria, jeans pesado) chegam a 120 lavagens."
tecidos,tecido duravel pra usar muito,qualidade_durabilidade,MISMATCH,"esperava tecidos, classificou 'qualidade_durabilidade'","Nossas peças são desenvolvidas para resistir entre 50 e 80 lavagens mantendo cor, forma e textura, desde que respeitados os cuidados da etiqueta. Tecidos premium (alfaiataria, jeans pesado) chegam a 120 lavagens."
tecidos,tecido do dia a dia,sug_casual,MISMATCH,"esperava tecidos, classificou 'sug_casual'","Para o dia a dia indico nossas peças mais versáteis: camiseta básica (algodão 100%), camiseta premium pima, jogger, moletom oversized. Saem em todas as 12 cores de estoque e são as mais pedidas da linha casual."
tecidos,qual tecido pra academia,sug_esporte,MISMATCH,"esperava tecidos, classificou 'sug_esporte'","Para esporte indico: camiseta dry fit (poliéster com toque seco), legging suplex, bermuda esportiva, regata. Tecidos para suor, secagem rápida e elasticidade."
tecidos,tecido sofisticado pra alfaiataria,cat_calcas,MISMATCH,"esperava tecidos, classificou 'cat_calcas'","Linha de calças: jeans (5 modelagens — skinny, reta, wide leg, mom, flare), alfaiataria, jogger, legging, calça moletom, bermuda esportiva e short jeans. Modelagens femininas, masculinas e unissex."
tecidos,quais cores de tecido em estoque,cores_basicas,MISMATCH,"esperava tecidos, classificou 'cores_basicas'","Mantemos 12 cores em estoque permanente: branco, preto, cinza mescla, cinza chumbo, azul marinho, azul royal, vermelho, vinho, verde militar, verde bandeira, amarelo e rosa. Pronta entrega, sem prazo adicional."
disponibilidade,voces tem em estoque pra entrega,setor_logistica,MISMATCH,"esperava disponibilidade, classificou 'setor_logistica'","Isso fica com logística: frete, envio, rastreio e prazo de entrega dependem do endereço e da transportadora. Se você já tem pedido, me informe o número FF-AAAA-NNNN; se ainda não fechou, vendas calcula o frete no orçamento."
prazo,prazo de 500 pecas,qtd_grande_volume,MISMATCH,"esperava prazo, classificou 'qtd_grande_volume'","Pedidos acima de 500 peças têm: desconto progressivo, prazo planejado em fases (lotes de 100 a 200 peças), entregas parciais, ficha técnica completa. O setor de vendas faz orçamento personalizado."
compat_pers_tecido,posso estampar no linho,personalizacao,MISMATCH,"esperava compat_pers_tecido, classificou 'personalizacao'","Trabalhamos com bordado, silkscreen, DTF, etiqueta personalizada e modelagem exclusiva. A melhor técnica depende da arte, tecido, quantidade e prazo. Se quiser, posso listar as opções."
b2b,uniforme pra empresa com logo e prazo,personalizacao_bordado,MISMATCH,"esperava b2b, classificou 'personalizacao_bordado'","Para logo de empresa, o bordado é a opção mais profissional e durável, especialmente em polo e uniforme. Se o logo tiver muitas cores ou degradê, DTF pode preservar melhor a arte; se for grande volume, silk pode reduzir custo."
b2b,uniforme empresa preco e prazo,setor_vendas,MISMATCH,"esperava b2b, classificou 'setor_vendas'","Para preço, valor final, pagamento, desconto ou fechamento, vendas confirma a proposta. Se você me disser produto, quantidade e personalização, eu consigo dar uma estimativa antes."
catalogo,vende uniforme,sug_trabalho,MISMATCH,"esperava catalogo, classificou 'sug_trabalho'","Para empresa, eu indicaria polo corporativa quando precisa de imagem profissional e custo controlado; camiseta premium para evento mais informal; e dry fit se o local for quente ou a equipe ficar em movimento. Se tiver logo, bordado passa mais confiança; silk/DTF costuma sair melhor em volume ou arte colorida."
prazo,quando meu pedido fica pronto,status_pedido,MISMATCH,"esperava prazo, classificou 'status_pedido'",Claro! Me informa o número do pedido que eu consulto o andamento na produção. O formato é FF-AAAA-NNNN (ex: FF-2026-0001).
